,OLS,PLS6,PLS7,PLS,Ridge,RidgeCV,Lasso,LassoCV,ElasticNet,ElasticNetCV
Train R2,0.6276547806730792,0.6137002019531118,0.6238618457053651,0.6276547806730792,0.6276546877761131,0.6276546877761131,0.40509833927473937,0.6276383471896736,0.28126989579940387,0.6276052530502785
Test R2,0.6080656006520624,0.5909020904910189,0.6037571316105874,0.6080656006520624,0.6080631102694101,0.6080631102694101,0.3880422006447587,0.6080655622655156,0.270475038679582,0.6080075810560557
Train MSE,0.3728122452073407,0.386784326903241,0.3766099375848475,0.3728122452073407,0.3728123382208259,0.3728123382208259,0.5956478351285892,0.3728286993029677,0.7196315943830278,0.37286183495174374
Test MSE,0.3899426724673675,0.4070189613367623,0.3942292467896795,0.38994267246736747,0.38994515019442716,0.38994515019442716,0.6088479605639074,0.3899427106588421,0.7258176713302407,0.39000039722018315
Train MAE,0.4794708132724402,0.4837165979786111,0.48174828190712526,0.4794708132724402,0.4794679291931898,0.4794679291931898,0.6253267985755905,0.47948038253494785,0.703015723310443,0.4794644545089907
Test MAE,0.48930234765220226,0.49477044442560314,0.49261665498197926,0.48930234765220226,0.4892988121197256,0.4892988121197256,0.629462752999712,0.48929974594741676,0.7038575302895388,0.48927392045943796
